"Table 13.2 Total Departures(a) by State of Residence/Stay(b), Jan-1991 to Aug-2025(c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2014,473380,303920,247990,54000,175550,13980,12810,17090,1298710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2014,512380,328920,262780,60950,200130,14590,13120,21170,1414040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2014,444510,308620,240920,56000,171210,12860,13190,18640,1265970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2014,502140,365200,264150,56760,181420,11530,16650,22420,1420280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2014,447470,316740,267650,63890,195780,14060,16300,22940,1344800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2014,481490,336640,311590,59970,184410,12950,19030,19160,1425230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2014,491020,331120,281770,60020,191390,13250,16770,22490,1407840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2014,452220,306300,270310,51940,172350,12470,16810,19210,1301610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2014,483010,331910,276610,52810,167700,13520,14650,20580,1360790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2014,607980,407410,326150,67010,241280,14820,19180,28630,1712460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2015,559720,351830,278260,57920,195780,15740,12180,20600,1492040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2015,461310,299890,242850,46720,153920,14260,10660,14830,1244450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2015,531320,369540,265130,55300,178800,15690,12700,17830,1446300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2015,514610,323510,270220,60870,189770,14760,12170,21310,1407210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2015,468560,321850,247980,55470,170250,12800,13020,18930,1308870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2015,514240,388400,273170,54540,179390,11710,15340,23270,1460060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2015,484110,342350,287220,65310,197690,15060,17040,24100,1432870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2015,490330,340700,341190,56100,170620,13450,17150,19360,1448890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2015,519460,354900,304220,58140,188860,13510,14200,23200,1476490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2015,478750,333970,306440,52950,171890,12820,15540,22890,1395260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2015,517920,362100,286990,53770,167490,14390,13540,20950,1437150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2015,664020,453180,356570,69480,244220,16470,19020,30210,1853170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2016,618080,399350,300640,61970,204020,17340,12470,22030,1635880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2016,513570,330750,273030,47260,160000,15650,10820,16150,1367240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2016,559570,391590,304550,53110,184180,15930,12690,19160,1540790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2016,574940,335810,273040,64000,193600,16450,12690,22710,1493250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2016,499230,349590,264340,57570,170870,14070,12830,18910,1387400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2016,536340,432790,305130,55130,196450,13400,15470,25520,1580220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2016,560880,376450,299300,73250,206240,16140,17140,24910,1574310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2016,531940,381840,334130,62170,182430,14650,18460,20570,1546190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2016,561190,392720,323920,62250,205260,14830,15570,26220,1601950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2016,532810,366620,310470,60780,179110,14490,16390,21610,1502290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2016,564500,381240,304910,58330,182810,15290,13580,23990,1544640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2016,719220,502170,371100,75430,250790,18490,20790,34710,1992710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2017,687490,443300,314420,67230,210880,18980,14220,24680,1781220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2017,540240,338200,263840,50150,155370,16140,11580,17680,1393200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2017,581100,399120,301700,58450,185070,16120,13350,21330,1576240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2017,645780,409970,312000,69500,207530,17850,15470,26930,1705020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2017,537700,373980,290060,62260,178540,15000,13130,21890,1492580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2017,596490,448440,310000,58870,198210,13750,16170,30260,1672190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2017,599140,424630,297820,73350,197010,16940,15850,27200,1652280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2017,588170,427020,340070,63840,184410,14710,16190,23130,1657720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2017,607930,435480,332060,64060,204090,14800,14480,28450,1701600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2017,562810,396660,314790,61460,178270,15770,16240,22250,1568390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2017,605530,430380,311360,58510,177000,14820,13920,26440,1638140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2017,770680,531430,384810,76440,244290,17590,19880,37320,2082840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2018,693400,470810,311610,68710,207130,17100,14050,26200,1809210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2018,582690,393930,279270,50840,161650,15480,11440,19940,1515400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2018,634180,474710,325010,62230,191110,16860,13200,25640,1743090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2018,659800,421800,303830,69080,198590,18540,13080,30050,1715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2018,556630,415120,289980,63650,176990,15510,11970,26650,1556600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2018,614370,516320,322750,63640,205770,15210,14930,32630,1785860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2018,645680,436900,320140,70780,189320,17160,14800,30760,1725790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2018,617210,465940,368610,66740,188530,15540,17700,24680,1765100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2018,614590,469910,346830,66010,199470,15940,14690,27500,1755060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2018,608240,421480,319240,61740,173920,16020,14760,24360,1639940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2018,629890,463830,316890,63640,183180,15930,13160,28480,1715150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2018,806190,574090,397420,79140,250160,18680,19860,38390,2184290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2019,728740,504860,331130,71090,208250,19210,13530,28360,1905430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2019,578260,407230,274160,52770,161650,16480,10850,20200,1521730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2019,620100,453730,309710,62380,185260,17710,12080,23220,1684320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2019,684210,487600,325040,70240,201120,18920,12870,28420,1828640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2019,596950,435130,302060,66870,176380,16630,14300,24280,1632790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2019,619240,525630,330520,64600,198010,15750,15340,31320,1800580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2019,640470,454400,318300,75780,203310,18870,15320,30730,1757440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2019,628350,475720,375240,71140,198290,17560,17760,25490,1809670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2019,634350,477330,345500,73770,202500,17430,16980,28460,1796540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2019,614110,429240,322430,65400,190020,16090,15870,25460,1678790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2019,614100,475370,330560,67630,194130,17660,13700,29980,1743220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2019,813450,595470,410770,83870,258420,19120,19530,39300,2240340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2020,737570,523130,344490,74970,230310,20330,13890,29380,1974400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2020,469300,335880,247210,48290,152010,14850,9180,17480,1294290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2020,297090,226070,154350,32640,98540,10300,5080,10820,834950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2020,23720,15710,12470,2100,6880,520,410,650,62460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2020,13430,9560,6120,1170,3670,280,170,540,34950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2020,14470,10550,7650,1340,3880,370,220,780,39260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2020,18390,18270,9200,2050,5730,470,340,1290,55740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2020,19600,21140,9480,2140,5040,450,400,1380,59620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2020,16720,16900,7290,1760,3920,380,460,1060,48490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2020,15670,15010,7130,1810,4050,400,730,1020,45810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2020,14830,14480,7380,1850,3720,420,360,1180,44240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2020,17210,15820,7310,1990,4410,360,470,1510,49100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2021,15830,12310,6560,1770,3430,350,310,1290,41860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2021,11680,9560,5330,1330,2710,330,250,780,31970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2021,11780,9520,4740,1220,2780,280,280,730,31310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2021,30130,14290,12040,1540,4030,560,390,920,63920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2021,53460,20120,22120,2340,6430,960,410,1370,107230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2021,48090,14310,23960,2420,6420,990,530,1590,98350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2021,28870,20620,22120,2860,8850,1320,780,1590,87020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2021,16280,8630,5670,1440,3210,290,700,1030,37240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2021,12590,8000,4370,1060,2770,240,590,720,30330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2021,14110,10640,5450,1310,3320,360,770,860,36830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2021,41770,29510,8550,2570,4600,580,1190,2340,91120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2021,114140,73450,18710,5430,6980,1170,1330,6020,227240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2022,89530,63060,15420,5720,7760,1330,1100,4290,188210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2022,75490,57030,22400,6880,7980,1460,1230,3780,176260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2022,134910,99850,54270,11840,22300,2910,2270,6850,335240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2022,241010,174720,94660,20870,54850,5130,3910,11510,606710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2022,250770,183700,110190,24100,67760,6380,5370,11530,659860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2022,321340,262290,147060,28150,92380,6690,6980,15900,880860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2022,357810,259240,163570,41640,109780,10670,8160,17520,968490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2022,330890,257870,183030,35130,102570,9040,8680,14940,942210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2022,376760,280350,192600,38300,115280,8810,10410,17950,1040550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2022,358910,271890,193080,42530,111030,11330,9000,16940,1014820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2022,417620,314730,221550,45180,137350,11600,8910,20400,1177430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2022,558730,400940,266070,57560,177520,13000,11010,30120,1515290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2023,518670,369650,223190,55930,163200,14840,8610,22550,1376850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2023,398170,274860,191750,41930,125370,11850,7610,16810,1068410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2023,483740,345760,236340,52550,160970,15490,7980,21370,1324360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2023,520360,384750,243000,61370,167210,15300,8450,24520,1425150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2023,488500,371710,238640,55950,158930,14600,7970,22880,1359250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2023,542060,452710,282110,54110,175380,12920,10350,26930,1556710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2023,538450,390830,265520,73560,171390,17680,10760,26110,1494520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2023,541830,402680,298800,57500,167750,14380,11480,21970,1516500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2023,573280,423360,298530,60060,182420,13750,10940,27030,1589500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2023,536780,387990,279500,61930,163860,16050,9830,23320,1479380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2023,573330,427270,298570,59770,180650,14640,10280,26970,1591640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2023,767420,537310,352800,76420,228020,14910,12670,37770,2027740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2024,676300,472810,282030,66030,196370,16430,9530,26150,1745840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2024,561600,394820,269090,52360,170690,14790,8340,19880,1491730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2024,593530,470870,329370,58910,205400,16960,10200,24480,1709930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2024,627230,406120,298780,70490,194180,17070,9820,26410,1650280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2024,555290,416240,283020,62150,192900,15580,10060,23980,1559320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2024,587270,500570,331570,64630,224600,13610,11780,28180,1762410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2024,602310,425250,307330,71900,188080,17230,10980,27330,1650530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2024,586230,436900,348510,66090,198160,15370,13140,29870,1694440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2024,611820,482180,344460,70580,226590,16140,12880,31720,1796550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2024,599110,424810,316410,63530,199150,16340,12090,26600,1658170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2024,623750,472310,340770,68160,214190,15390,11800,29860,1776340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2024,822340,595170,407490,83680,279750,18080,14740,40390,2262020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2025,752550,547600,346960,75860,246250,20430,11360,29830,2031060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2025,569160,391420,271010,55080,183060,16290,9840,21900,1517920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2025,597470,453670,294850,63970,204980,19010,10680,24600,1669390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2025,683270,516260,344260,76520,243640,18980,13050,29550,1925790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2025,592020,439400,309110,69920,213180,17790,11950,26260,1679750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2025,614190,486060,348500,71070,232860,16530,14160,29910,1813440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2025,635040,475860,339860,76590,230300,19090,14500,28360,1819770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2025,637970,467880,379960,71950,219440,17250,15050,24960,1834620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
